stimulus	c1	v1	n	v2	voicing
bala.wav.mp3	b	a	l	a	voiced
balin.wav.mp3	b	a	l	i	voiced
balu.wav.mp3	b	a	l	u	voiced
bama.wav.mp3	b	a	m	a	voiced
bamil.wav.mp3	b	a	m	i	voiced
bamu.wav.mp3	b	a	m	u	voiced
bana.wav.mp3	b	a	n	a	voiced
bani.wav.mp3	b	a	n	i	voiced
banu.wav.mp3	b	a	n	u	voiced
bela.wav.mp3	b	e	l	a	voiced
beli.wav.mp3	b	e	l	i	voiced
belu.wav.mp3	b	e	l	u	voiced
bema.wav.mp3	b	e	m	a	voiced
bemi.wav.mp3	b	e	m	i	voiced
bemu.wav.mp3	b	e	m	u	voiced
bena.wav.mp3	b	e	n	a	voiced
beni.wav.mp3	b	e	n	i	voiced
benu.wav.mp3	b	e	n	u	voiced
bila.wav.mp3	b	i	l	a	voiced
bili.wav.mp3	b	i	l	i	voiced
bilu.wav.mp3	b	i	l	u	voiced
bima.wav.mp3	b	i	m	a	voiced
bimi.wav.mp3	b	i	m	i	voiced
bimu.wav.mp3	b	i	m	u	voiced
bina.wav.mp3	b	i	n	a	voiced
bini.wav.mp3	b	i	n	i	voiced
binu.wav.mp3	b	i	n	u	voiced
bola.wav.mp3	b	o	l	a	voiced
boli.wav.mp3	b	o	l	i	voiced
bolu.wav.mp3	b	o	l	u	voiced
boma.wav.mp3	b	o	m	a	voiced
bomi.wav.mp3	b	o	m	i	voiced
bomu.wav.mp3	b	o	m	u	voiced
bonal.wav.mp3	b	o	n	a	voiced
bonil.wav.mp3	b	o	n	i	voiced
bonu.wav.mp3	b	o	n	u	voiced
bula.wav.mp3	b	u	l	a	voiced
buli.wav.mp3	b	u	l	i	voiced
bulu.wav.mp3	b	u	l	u	voiced
buma.wav.mp3	b	u	m	a	voiced
bumi.wav.mp3	b	u	m	i	voiced
bumu.wav.mp3	b	u	m	u	voiced
buna.wav.mp3	b	u	n	a	voiced
buni.wav.mp3	b	u	n	i	voiced
bunu.wav.mp3	b	u	n	u	voiced
dala.wav.mp3	d	a	l	a	voiced
dalin.wav.mp3	d	a	l	i	voiced
dalu.wav.mp3	d	a	l	u	voiced
dama.wav.mp3	d	a	m	a	voiced
dami.wav.mp3	d	a	m	i	voiced
damu.wav.mp3	d	a	m	u	voiced
danal.wav.mp3	d	a	n	a	voiced
danil.wav.mp3	d	a	n	i	voiced
