trial_id	stimulus	type	attested	consonant	vowel
1	gage.wav.mp3	identical	yes	gg	ae
2	gagi.wav.mp3	identical	yes	gg	ai
3	gagu.wav.mp3	identical	yes	gg	au
4	gashe.wav.mp3	arbitrary	no	gsh	ae
5	gashi.wav.mp3	arbitrary	no	gsh	ai
6	gashu.wav.mp3	arbitrary	no	gsh	au
7	gega.wav.mp3	identical	yes	gg	ea
8	gegi.wav.mp3	identical	yes	gg	ei
9	gegu.wav.mp3	identical	yes	gg	eu
10	gesha.wav.mp3	arbitrary	no	gsh	ea
11	geshi.wav.mp3	arbitrary	no	gsh	ei
12	geshu.wav.mp3	arbitrary	no	gsh	eu
13	giga.wav.mp3	identical	yes	gg	ia
14	gige.wav.mp3	identical	yes	gg	ie
15	gigu.wav.mp3	identical	yes	gg	iu
16	gisha.wav.mp3	arbitrary	no	gsh	ia
17	gishe.wav.mp3	arbitrary	no	gsh	ie
18	gishu.wav.mp3	arbitrary	no	gsh	iu
19	guga.wav.mp3	identical	yes	gg	ua
20	guge.wav.mp3	identical	yes	gg	ue
21	gugi.wav.mp3	identical	yes	gg	ui
22	gusha.wav.mp3	arbitrary	no	gsh	ua
23	gushe.wav.mp3	arbitrary	no	gsh	ue
24	gushi.wav.mp3	arbitrary	no	gsh	ui
25	jaje.wav.mp3	identical	no	jj	ae
26	jaji.wav.mp3	identical	no	jj	ai
27	jaju.wav.mp3	identical	no	jj	au
28	jake.wav.mp3	arbitrary	yes	jk	ae
29	jaki.wav.mp3	arbitrary	yes	jk	ai
30	jaku.wav.mp3	arbitrary	yes	jk	au
31	jeja.wav.mp3	identical	no	jj	ea
32	jeji.wav.mp3	identical	no	jj	ei
33	jeju.wav.mp3	identical	no	jj	eu
34	jeka.wav.mp3	arbitrary	yes	jk	ea
35	jeki.wav.mp3	arbitrary	yes	jk	ei
36	jeku.wav.mp3	arbitrary	yes	jk	eu
37	jija.wav.mp3	identical	no	jj	ia
38	jije.wav.mp3	identical	no	jj	ie
39	jiju.wav.mp3	identical	no	jj	iu
40	jika.wav.mp3	arbitrary	yes	jk	ia
41	jike.wav.mp3	arbitrary	yes	jk	ie
42	jiku.wav.mp3	arbitrary	yes	jk	iu
43	juja.wav.mp3	identical	no	jj	ua
44	juje.wav.mp3	identical	no	jj	ue
45	juji.wav.mp3	identical	no	jj	ui
46	juka.wav.mp3	arbitrary	yes	jk	ua
47	juke.wav.mp3	arbitrary	yes	jk	ue
48	juki.wav.mp3	arbitrary	yes	jk	ui
49	kake.wav.mp3	identical	no	kk	ae
50	kaki.wav.mp3	identical	no	kk	ai
51	kaku.wav.mp3	identical	no	kk	au
52	kase.wav.mp3	arbitrary	yes	ks	ae
53	kasi.wav.mp3	arbitrary	yes	ks	ai
54	kasu.wav.mp3	arbitrary	yes	ks	au
55	keka.wav.mp3	identical	no	kk	ea
56	keki.wav.mp3	identical	no	kk	ei
57	keku.wav.mp3	identical	no	kk	eu
58	kesa.wav.mp3	arbitrary	yes	ks	ea
59	kesi.wav.mp3	arbitrary	yes	ks	ei
60	kesu.wav.mp3	arbitrary	yes	ks	eu
61	kika.wav.mp3	identical	no	kk	ia
62	kike.wav.mp3	identical	no	kk	ie
63	kiku.wav.mp3	identical	no	kk	iu
64	kisa.wav.mp3	arbitrary	yes	ks	ia
65	kise.wav.mp3	arbitrary	yes	ks	ie
66	kisu.wav.mp3	arbitrary	yes	ks	iu
67	kuka.wav.mp3	identical	no	kk	ua
68	kuke.wav.mp3	identical	no	kk	ue
69	kuki.wav.mp3	identical	no	kk	ui
70	kusa.wav.mp3	arbitrary	yes	ks	ua
71	kuse.wav.mp3	arbitrary	yes	ks	ue
72	kusi.wav.mp3	arbitrary	yes	ks	ui
73	maje.wav.mp3	arbitrary	yes	mj	ae
74	maji.wav.mp3	arbitrary	yes	mj	ai
75	maju.wav.mp3	arbitrary	yes	mj	au
76	mame.wav.mp3	identical	no	mm	ae
77	mami.wav.mp3	identical	no	mm	ai
78	mamu.wav.mp3	identical	no	mm	au
79	meja.wav.mp3	arbitrary	yes	mj	ea
80	meji.wav.mp3	arbitrary	yes	mj	ei
81	meju.wav.mp3	arbitrary	yes	mj	eu
82	mema.wav.mp3	identical	no	mm	ea
83	memi.wav.mp3	identical	no	mm	ei
84	memu.wav.mp3	identical	no	mm	eu
85	mija.wav.mp3	arbitrary	yes	mj	ia
86	mije.wav.mp3	arbitrary	yes	mj	ie
87	miju.wav.mp3	arbitrary	yes	mj	iu
88	mima.wav.mp3	identical	no	mm	ia
89	mime.wav.mp3	identical	no	mm	ie
90	mimu.wav.mp3	identical	no	mm	iu
91	muja.wav.mp3	arbitrary	yes	mj	ua
92	muje.wav.mp3	arbitrary	yes	mj	ue
93	muji.wav.mp3	arbitrary	yes	mj	ui
94	muma.wav.mp3	identical	no	mm	ua
95	mume.wav.mp3	identical	no	mm	ue
96	mumi.wav.mp3	identical	no	mm	ui
