item	type	onset	vowel
wani	filler	w	ai
yani	filler	y	ai
lani	filler	l	ai
pani	stop	p	ai
tani	stop	t	ai
kani	stop	k	ai
zani	control	z	ai
dani	control	d	ai
wami	filler	w	ai
yami	filler	y	ai
lami	filler	l	ai
pami	stop	p	ai
tami	stop	t	ai
kami	stop	k	ai
zami	control	z	ai
dami	control	d	ai
wanu	filler	w	au
yanu	filler	y	au
lanu	filler	l	au
panu	stop	p	au
tanu	stop	t	au
kanu	stop	k	au
zanu	control	z	au
danu	control	d	au
wamu	filler	w	au
yamu	filler	y	au
lamu	filler	l	au
pamu	stop	p	au
tamu	stop	t	au
kamu	stop	k	au
zamu	control	z	au
damu	control	d	au
wuna	filler	w	ua
yuna	filler	y	ua
luna	filler	l	ua
puna	stop	p	ua
tuna	stop	t	ua
kuna	stop	k	ua
zuna	control	z	ua
duna	control	d	ua
wuma	filler	w	ua
yuma	filler	y	ua
luma	filler	l	ua
puma	stop	p	ua
tuma	stop	t	ua
kuma	stop	k	ua
zuma	control	z	ua
duma	control	d	ua
wina	filler	w	ia
yina	filler	y	ia
lina	filler	l	ia
pina	stop	p	ia
tina	stop	t	ia
kina	stop	k	ia
zina	control	z	ia
dina	control	d	ia
wima	filler	w	ia
yima	filler	y	ia
lima	filler	l	ia
pima	stop	p	ia
tima	stop	t	ia
kima	stop	k	ia
zima	control	z	ia
dima	control	d	ia
