stimulus,c1,v1,n,v2,voicing
bala,b,a,l,a,voiced
balin,b,a,l,i,voiced
balu,b,a,l,u,voiced
bama,b,a,m,a,voiced
bamil,b,a,m,i,voiced
bamu,b,a,m,u,voiced
bana,b,a,n,a,voiced
bani,b,a,n,i,voiced
banu,b,a,n,u,voiced
bela,b,e,l,a,voiced
beli,b,e,l,i,voiced
belu,b,e,l,u,voiced
bema,b,e,m,a,voiced
bemi,b,e,m,i,voiced
bemu,b,e,m,u,voiced
bena,b,e,n,a,voiced
beni,b,e,n,i,voiced
benu,b,e,n,u,voiced
bila,b,i,l,a,voiced
bili,b,i,l,i,voiced
bilu,b,i,l,u,voiced
bima,b,i,m,a,voiced
bimi,b,i,m,i,voiced
bimu,b,i,m,u,voiced
bina,b,i,n,a,voiced
bini,b,i,n,i,voiced
binu,b,i,n,u,voiced
bola,b,o,l,a,voiced
boli,b,o,l,i,voiced
bolu,b,o,l,u,voiced
boma,b,o,m,a,voiced
bomi,b,o,m,i,voiced
bomu,b,o,m,u,voiced
bonal,b,o,n,a,voiced
bonil,b,o,n,i,voiced
bonu,b,o,n,u,voiced
bula,b,u,l,a,voiced
buli,b,u,l,i,voiced
bulu,b,u,l,u,voiced
buma,b,u,m,a,voiced
bumi,b,u,m,i,voiced
bumu,b,u,m,u,voiced
buna,b,u,n,a,voiced
buni,b,u,n,i,voiced
bunu,b,u,n,u,voiced
dala,d,a,l,a,voiced
dalin,d,a,l,i,voiced
dalu,d,a,l,u,voiced
dama,d,a,m,a,voiced
dami,d,a,m,i,voiced
damu,d,a,m,u,voiced
danal,d,a,n,a,voiced
danil,d,a,n,i,voiced
danu,d,a,n,u,voiced
dela,d,e,l,a,voiced
delin,d,e,l,i,voiced
delu,d,e,l,u,voiced
dema,d,e,m,a,voiced
demi,d,e,m,i,voiced
demu,d,e,m,u,voiced
denal,d,e,n,a,voiced
deni,d,e,n,i,voiced
denu,d,e,n,u,voiced
dila,d,i,l,a,voiced
dili,d,i,l,i,voiced
dilu,d,i,l,u,voiced
dima,d,i,m,a,voiced
dimi,d,i,m,i,voiced
dimu,d,i,m,u,voiced
dinal,d,i,n,a,voiced
dini,d,i,n,i,voiced
dinu,d,i,n,u,voiced
dola,d,o,l,a,voiced
doli,d,o,l,i,voiced
dolu,d,o,l,u,voiced
doman,d,o,m,a,voiced
domi,d,o,m,i,voiced
domu,d,o,m,u,voiced
dona,d,o,n,a,voiced
doni,d,o,n,i,voiced
donu,d,o,n,u,voiced
dulan,d,u,l,a,voiced
duli,d,u,l,i,voiced
dulu,d,u,l,u,voiced
duman,d,u,m,a,voiced
dumi,d,u,m,i,voiced
dumu,d,u,m,u,voiced
duna,d,u,n,a,voiced
duni,d,u,n,i,voiced
dunu,d,u,n,u,voiced
d_ala,D,a,l,a,voiced
d_ali,D,a,l,i,voiced
d_alu,D,a,l,u,voiced
d_ama,D,a,m,a,voiced
d_ami,D,a,m,i,voiced
d_amu,D,a,m,u,voiced
d_ana,D,a,n,a,voiced
d_ani,D,a,n,i,voiced
d_anu,D,a,n,u,voiced
d_ela,D,e,l,a,voiced
d_eli,D,e,l,i,voiced
d_elu,D,e,l,u,voiced
d_ema,D,e,m,a,voiced
d_emi,D,e,m,i,voiced
d_emu,D,e,m,u,voiced
d_ena,D,e,n,a,voiced
d_eni,D,e,n,i,voiced
d_enu,D,e,n,u,voiced
d_ila,D,i,l,a,voiced
d_ili,D,i,l,i,voiced
d_ilu,D,i,l,u,voiced
d_ima,D,i,m,a,voiced
d_imi,D,i,m,i,voiced
d_imu,D,i,m,u,voiced
d_ina,D,i,n,a,voiced
d_ini,D,i,n,i,voiced
d_inu,D,i,n,u,voiced
d_ola,D,o,l,a,voiced
d_oli,D,o,l,i,voiced
d_olu,D,o,l,u,voiced
d_oma,D,o,m,a,voiced
d_omi,D,o,m,i,voiced
d_omu,D,o,m,u,voiced
d_ona,D,o,n,a,voiced
d_oni,D,o,n,i,voiced
d_onu,D,o,n,u,voiced
d_ula,D,u,l,a,voiced
d_uli,D,u,l,i,voiced
d_ulu,D,u,l,u,voiced
d_uma,D,u,m,a,voiced
d_umi,D,u,m,i,voiced
d_umu,D,u,m,u,voiced
d_una,D,u,n,a,voiced
d_uni,D,u,n,i,voiced
d_unu,D,u,n,u,voiced
fala,f,a,l,a,voiceless
falin,f,a,l,i,voiceless
falu,f,a,l,u,voiceless
fama,f,a,m,a,voiceless
fami,f,a,m,i,voiceless
famu,f,a,m,u,voiceless
fana,f,a,n,a,voiceless
fani,f,a,n,i,voiceless
fanu,f,a,n,u,voiceless
fela,f,e,l,a,voiceless
feli,f,e,l,i,voiceless
felu,f,e,l,u,voiceless
fema,f,e,m,a,voiceless
femi,f,e,m,i,voiceless
femu,f,e,m,u,voiceless
fena,f,e,n,a,voiceless
feni,f,e,n,i,voiceless
fenu,f,e,n,u,voiceless
fila,f,i,l,a,voiceless
fili,f,i,l,i,voiceless
filu,f,i,l,u,voiceless
fima,f,i,m,a,voiceless
fimi,f,i,m,i,voiceless
fimu,f,i,m,u,voiceless
fina,f,i,n,a,voiceless
fini,f,i,n,i,voiceless
finu,f,i,n,u,voiceless
fola,f,o,l,a,voiceless
foli,f,o,l,i,voiceless
folu,f,o,l,u,voiceless
foma,f,o,m,a,voiceless
fomi,f,o,m,i,voiceless
fomu,f,o,m,u,voiceless
fona,f,o,n,a,voiceless
foni,f,o,n,i,voiceless
fonu,f,o,n,u,voiceless
fula,f,u,l,a,voiceless
fuli,f,u,l,i,voiceless
fulu,f,u,l,u,voiceless
fuma,f,u,m,a,voiceless
fumi,f,u,m,i,voiceless
fumu,f,u,m,u,voiceless
funa,f,u,n,a,voiceless
funi,f,u,n,i,voiceless
funu,f,u,n,u,voiceless
gala,g,a,l,a,voiced
gali,g,a,l,i,voiced
galu,g,a,l,u,voiced
gama,g,a,m,a,voiced
gami,g,a,m,i,voiced
gamu,g,a,m,u,voiced
gana,g,a,n,a,voiced
gani,g,a,n,i,voiced
ganu,g,a,n,u,voiced
gela,g,e,l,a,voiced
geli,g,e,l,i,voiced
gelu,g,e,l,u,voiced
gema,g,e,m,a,voiced
gemi,g,e,m,i,voiced
gemu,g,e,m,u,voiced
gena,g,e,n,a,voiced
geni,g,e,n,i,voiced
genu,g,e,n,u,voiced
gila,g,i,l,a,voiced
gili,g,i,l,i,voiced
gilu,g,i,l,u,voiced
gima,g,i,m,a,voiced
gimi,g,i,m,i,voiced
gimu,g,i,m,u,voiced
gina,g,i,n,a,voiced
gini,g,i,n,i,voiced
ginu,g,i,n,u,voiced
gola,g,o,l,a,voiced
goli,g,o,l,i,voiced
golu,g,o,l,u,voiced
goma,g,o,m,a,voiced
gomi,g,o,m,i,voiced
gomu,g,o,m,u,voiced
gona,g,o,n,a,voiced
goni,g,o,n,i,voiced
gonu,g,o,n,u,voiced
gula,g,u,l,a,voiced
guli,g,u,l,i,voiced
gulu,g,u,l,u,voiced
guma,g,u,m,a,voiced
gumi,g,u,m,i,voiced
gumu,g,u,m,u,voiced
guna,g,u,n,a,voiced
guni,g,u,n,i,voiced
gunu,g,u,n,u,voiced
kala,k,a,l,a,voiceless
kalin,k,a,l,i,voiceless
kalu,k,a,l,u,voiceless
kama,k,a,m,a,voiceless
kamin,k,a,m,i,voiceless
kamu,k,a,m,u,voiceless
kana,k,a,n,a,voiceless
kanil,k,a,n,i,voiceless
kanu,k,a,n,u,voiceless
kelan,k,e,l,a,voiceless
kelin,k,e,l,i,voiceless
kelu,k,e,l,u,voiceless
kema,k,e,m,a,voiceless
kemi,k,e,m,i,voiceless
kemu,k,e,m,u,voiceless
kena,k,e,n,a,voiceless
keni,k,e,n,i,voiceless
kenu,k,e,n,u,voiceless
kila,k,i,l,a,voiceless
kili,k,i,l,i,voiceless
kilu,k,i,l,u,voiceless
kima,k,i,m,a,voiceless
kimi,k,i,m,i,voiceless
kimu,k,i,m,u,voiceless
kina,k,i,n,a,voiceless
kini,k,i,n,i,voiceless
kinu,k,i,n,u,voiceless
kolan,k,o,l,a,voiceless
koli,k,o,l,i,voiceless
kolu,k,o,l,u,voiceless
koma,k,o,m,a,voiceless
komi,k,o,m,i,voiceless
komu,k,o,m,u,voiceless
konal,k,o,n,a,voiceless
koni,k,o,n,i,voiceless
konu,k,o,n,u,voiceless
kula,k,u,l,a,voiceless
kuli,k,u,l,i,voiceless
kulu,k,u,l,u,voiceless
kuma,k,u,m,a,voiceless
kumi,k,u,m,i,voiceless
kumu,k,u,m,u,voiceless
kuna,k,u,n,a,voiceless
kuni,k,u,n,i,voiceless
kunu,k,u,n,u,voiceless
pala,p,a,l,a,voiceless
pali,p,a,l,i,voiceless
palu,p,a,l,u,voiceless
pama,p,a,m,a,voiceless
pami,p,a,m,i,voiceless
pamu,p,a,m,u,voiceless
pana,p,a,n,a,voiceless
pani,p,a,n,i,voiceless
panu,p,a,n,u,voiceless
pela,p,e,l,a,voiceless
peli,p,e,l,i,voiceless
pelu,p,e,l,u,voiceless
pema,p,e,m,a,voiceless
pemi,p,e,m,i,voiceless
pemu,p,e,m,u,voiceless
pena,p,e,n,a,voiceless
peni,p,e,n,i,voiceless
penu,p,e,n,u,voiceless
pila,p,i,l,a,voiceless
pili,p,i,l,i,voiceless
pilu,p,i,l,u,voiceless
pima,p,i,m,a,voiceless
pimi,p,i,m,i,voiceless
pimu,p,i,m,u,voiceless
pina,p,i,n,a,voiceless
pini,p,i,n,i,voiceless
pinu,p,i,n,u,voiceless
pola,p,o,l,a,voiceless
poli,p,o,l,i,voiceless
polu,p,o,l,u,voiceless
poma,p,o,m,a,voiceless
pomi,p,o,m,i,voiceless
pomu,p,o,m,u,voiceless
pona,p,o,n,a,voiceless
poni,p,o,n,i,voiceless
ponu,p,o,n,u,voiceless
pula,p,u,l,a,voiceless
puli,p,u,l,i,voiceless
pulu,p,u,l,u,voiceless
puma,p,u,m,a,voiceless
pumi,p,u,m,i,voiceless
pumu,p,u,m,u,voiceless
puna,p,u,n,a,voiceless
puni,p,u,n,i,voiceless
punu,p,u,n,u,voiceless
sala,s,a,l,a,voiceless
sali,s,a,l,i,voiceless
salu,s,a,l,u,voiceless
sama,s,a,m,a,voiceless
samin,s,a,m,i,voiceless
samu,s,a,m,u,voiceless
sana,s,a,n,a,voiceless
sani,s,a,n,i,voiceless
sanu,s,a,n,u,voiceless
sela,s,e,l,a,voiceless
seli,s,e,l,i,voiceless
selu,s,e,l,u,voiceless
sema,s,e,m,a,voiceless
semi,s,e,m,i,voiceless
semu,s,e,m,u,voiceless
sena,s,e,n,a,voiceless
seni,s,e,n,i,voiceless
senu,s,e,n,u,voiceless
sila,s,i,l,a,voiceless
sili,s,i,l,i,voiceless
silu,s,i,l,u,voiceless
sima,s,i,m,a,voiceless
simi,s,i,m,i,voiceless
simu,s,i,m,u,voiceless
sina,s,i,n,a,voiceless
sini,s,i,n,i,voiceless
sinu,s,i,n,u,voiceless
sola,s,o,l,a,voiceless
soli,s,o,l,i,voiceless
solu,s,o,l,u,voiceless
soma,s,o,m,a,voiceless
somi,s,o,m,i,voiceless
somu,s,o,m,u,voiceless
sona,s,o,n,a,voiceless
sonil,s,o,n,i,voiceless
sonu,s,o,n,u,voiceless
sulan,s,u,l,a,voiceless
suli,s,u,l,i,voiceless
sulu,s,u,l,u,voiceless
suman,s,u,m,a,voiceless
sumi,s,u,m,i,voiceless
sumu,s,u,m,u,voiceless
suna,s,u,n,a,voiceless
suni,s,u,n,i,voiceless
sunu,s,u,n,u,voiceless
tala,t,a,l,a,voiceless
tali,t,a,l,i,voiceless
talu,t,a,l,u,voiceless
tama,t,a,m,a,voiceless
tami,t,a,m,i,voiceless
tamu,t,a,m,u,voiceless
tana,t,a,n,a,voiceless
tani,t,a,n,i,voiceless
tanu,t,a,n,u,voiceless
tela,t,e,l,a,voiceless
teli,t,e,l,i,voiceless
telu,t,e,l,u,voiceless
tema,t,e,m,a,voiceless
temi,t,e,m,i,voiceless
temu,t,e,m,u,voiceless
tena,t,e,n,a,voiceless
teni,t,e,n,i,voiceless
tenu,t,e,n,u,voiceless
tila,t,i,l,a,voiceless
tili,t,i,l,i,voiceless
tilu,t,i,l,u,voiceless
tima,t,i,m,a,voiceless
timi,t,i,m,i,voiceless
timu,t,i,m,u,voiceless
tinal,t,i,n,a,voiceless
tinil,t,i,n,i,voiceless
tinu,t,i,n,u,voiceless
tola,t,o,l,a,voiceless
toli,t,o,l,i,voiceless
tolu,t,o,l,u,voiceless
toma,t,o,m,a,voiceless
tomi,t,o,m,i,voiceless
tomu,t,o,m,u,voiceless
tona,t,o,n,a,voiceless
toni,t,o,n,i,voiceless
tonu,t,o,n,u,voiceless
tulan,t,u,l,a,voiceless
tulin,t,u,l,i,voiceless
tulu,t,u,l,u,voiceless
tuma,t,u,m,a,voiceless
tumi,t,u,m,i,voiceless
tumu,t,u,m,u,voiceless
tunal,t,u,n,a,voiceless
tuni,t,u,n,i,voiceless
