trial_id	stimulus	type	attested	consonant	vowel
4	gashe.wav.mp3	arbitrary	no	gsh	ae
5	gashi.wav.mp3	arbitrary	no	gsh	ai
6	gashu.wav.mp3	arbitrary	no	gsh	au
10	gesha.wav.mp3	arbitrary	no	gsh	ea
11	geshi.wav.mp3	arbitrary	no	gsh	ei
12	geshu.wav.mp3	arbitrary	no	gsh	eu
16	gisha.wav.mp3	arbitrary	no	gsh	ia
17	gishe.wav.mp3	arbitrary	no	gsh	ie
18	gishu.wav.mp3	arbitrary	no	gsh	iu
22	gusha.wav.mp3	arbitrary	no	gsh	ua
23	gushe.wav.mp3	arbitrary	no	gsh	ue
24	gushi.wav.mp3	arbitrary	no	gsh	ui
97	nage.wav.mp3	arbitrary	no	ng	ae
98	nagi.wav.mp3	arbitrary	no	ng	ai
99	nagu.wav.mp3	arbitrary	no	ng	au
103	nega.wav.mp3	arbitrary	no	ng	ea
104	negi.wav.mp3	arbitrary	no	ng	ei
105	negu.wav.mp3	arbitrary	no	ng	eu
109	niga.wav.mp3	arbitrary	no	ng	ia
110	nige.wav.mp3	arbitrary	no	ng	ie
111	nigu.wav.mp3	arbitrary	no	ng	iu
115	nuga.wav.mp3	arbitrary	no	ng	ua
116	nuge.wav.mp3	arbitrary	no	ng	ue
117	nugi.wav.mp3	arbitrary	no	ng	ui
121	pane.wav.mp3	arbitrary	no	pn	ae
122	pani.wav.mp3	arbitrary	no	pn	ai
123	panu.wav.mp3	arbitrary	no	pn	au
127	pena.wav.mp3	arbitrary	no	pn	ea
128	peni.wav.mp3	arbitrary	no	pn	ei
129	penu.wav.mp3	arbitrary	no	pn	eu
133	pina.wav.mp3	arbitrary	no	pn	ia
134	pine.wav.mp3	arbitrary	no	pn	ie
135	pinu.wav.mp3	arbitrary	no	pn	iu
139	puna.wav.mp3	arbitrary	no	pn	ua
140	pune.wav.mp3	arbitrary	no	pn	ue
141	puni.wav.mp3	arbitrary	no	pn	ui
157	shape.wav.mp3	arbitrary	no	shp	ae
158	shapi.wav.mp3	arbitrary	no	shp	ai
159	shapu.wav.mp3	arbitrary	no	shp	au
163	shepa.wav.mp3	arbitrary	no	shp	ea
164	shepi.wav.mp3	arbitrary	no	shp	ei
165	shepu.wav.mp3	arbitrary	no	shp	eu
169	shipa.wav.mp3	arbitrary	no	shp	ia
170	shipe.wav.mp3	arbitrary	no	shp	ie
171	shipu.wav.mp3	arbitrary	no	shp	iu
175	shupa.wav.mp3	arbitrary	no	shp	ua
176	shupe.wav.mp3	arbitrary	no	shp	ue
177	shupi.wav.mp3	arbitrary	no	shp	ui
25	jaje.wav.mp3	identical	no	jj	ae
26	jaji.wav.mp3	identical	no	jj	ai
27	jaju.wav.mp3	identical	no	jj	au
31	jeja.wav.mp3	identical	no	jj	ea
32	jeji.wav.mp3	identical	no	jj	ei
33	jeju.wav.mp3	identical	no	jj	eu
37	jija.wav.mp3	identical	no	jj	ia
38	jije.wav.mp3	identical	no	jj	ie
39	jiju.wav.mp3	identical	no	jj	iu
43	juja.wav.mp3	identical	no	jj	ua
44	juje.wav.mp3	identical	no	jj	ue
45	juji.wav.mp3	identical	no	jj	ui
49	kake.wav.mp3	identical	no	kk	ae
50	kaki.wav.mp3	identical	no	kk	ai
51	kaku.wav.mp3	identical	no	kk	au
55	keka.wav.mp3	identical	no	kk	ea
56	keki.wav.mp3	identical	no	kk	ei
57	keku.wav.mp3	identical	no	kk	eu
61	kika.wav.mp3	identical	no	kk	ia
62	kike.wav.mp3	identical	no	kk	ie
63	kiku.wav.mp3	identical	no	kk	iu
67	kuka.wav.mp3	identical	no	kk	ua
68	kuke.wav.mp3	identical	no	kk	ue
69	kuki.wav.mp3	identical	no	kk	ui
76	mame.wav.mp3	identical	no	mm	ae
77	mami.wav.mp3	identical	no	mm	ai
78	mamu.wav.mp3	identical	no	mm	au
82	mema.wav.mp3	identical	no	mm	ea
83	memi.wav.mp3	identical	no	mm	ei
84	memu.wav.mp3	identical	no	mm	eu
88	mima.wav.mp3	identical	no	mm	ia
89	mime.wav.mp3	identical	no	mm	ie
90	mimu.wav.mp3	identical	no	mm	iu
94	muma.wav.mp3	identical	no	mm	ua
95	mume.wav.mp3	identical	no	mm	ue
96	mumi.wav.mp3	identical	no	mm	ui
148	sase.wav.mp3	identical	no	ss	ae
149	sasi.wav.mp3	identical	no	ss	ai
150	sasu.wav.mp3	identical	no	ss	au
154	sesa.wav.mp3	identical	no	ss	ea
155	sesi.wav.mp3	identical	no	ss	ei
156	sesu.wav.mp3	identical	no	ss	eu
184	sisa.wav.mp3	identical	no	ss	ia
185	sise.wav.mp3	identical	no	ss	ie
186	sisu.wav.mp3	identical	no	ss	iu
190	susa.wav.mp3	identical	no	ss	ua
191	suse.wav.mp3	identical	no	ss	ue
192	susi.wav.mp3	identical	no	ss	ui
28	gake.wav.mp3	training	yes	gk	ae
29	gaki.wav.mp3	training	yes	gk	ai
30	gaku.wav.mp3	training	yes	gk	au
34	geka.wav.mp3	training	yes	gk	ea
35	geki.wav.mp3	training	yes	gk	ei
36	geku.wav.mp3	training	yes	gk	eu
40	gika.wav.mp3	training	yes	gk	ia
41	gike.wav.mp3	training	yes	gk	ie
42	giku.wav.mp3	training	yes	gk	iu
46	guka.wav.mp3	training	yes	gk	ua
47	guke.wav.mp3	training	yes	gk	ue
48	guki.wav.mp3	training	yes	gk	ui
160	jame.wav.mp3	training	yes	jm	ae
161	jami.wav.mp3	training	yes	jm	ai
162	jamu.wav.mp3	training	yes	jm	au
166	jema.wav.mp3	training	yes	jm	ea
167	jemi.wav.mp3	training	yes	jm	ei
168	jemu.wav.mp3	training	yes	jm	eu
172	jima.wav.mp3	training	yes	jm	ia
173	jime.wav.mp3	training	yes	jm	ie
174	jimu.wav.mp3	training	yes	jm	iu
178	juma.wav.mp3	training	yes	jm	ua
179	jume.wav.mp3	training	yes	jm	ue
180	jumi.wav.mp3	training	yes	jm	ui
124	kape.wav.mp3	training	yes	kp	ae
125	kapi.wav.mp3	training	yes	kp	ai
126	kapu.wav.mp3	training	yes	kp	au
130	kepa.wav.mp3	training	yes	kp	ea
131	kepi.wav.mp3	training	yes	kp	ei
132	kepu.wav.mp3	training	yes	kp	eu
136	kipa.wav.mp3	training	yes	kp	ia
137	kipe.wav.mp3	training	yes	kp	ie
138	kipu.wav.mp3	training	yes	kp	iu
142	kupa.wav.mp3	training	yes	kp	ua
143	kupe.wav.mp3	training	yes	kp	ue
144	kupi.wav.mp3	training	yes	kp	ui
52	mane.wav.mp3	training	yes	mn	ae
53	mani.wav.mp3	training	yes	mn	ai
54	manu.wav.mp3	training	yes	mn	au
58	mena.wav.mp3	training	yes	mn	ea
59	meni.wav.mp3	training	yes	mn	ei
60	menu.wav.mp3	training	yes	mn	eu
64	mina.wav.mp3	training	yes	mn	ia
65	mine.wav.mp3	training	yes	mn	ie
66	minu.wav.mp3	training	yes	mn	iu
70	muna.wav.mp3	training	yes	mn	ua
71	mune.wav.mp3	training	yes	mn	ue
72	muni.wav.mp3	training	yes	mn	ui
145	nashe.wav.mp3	training	yes	nsh	ae
146	nashi.wav.mp3	training	yes	nsh	ai
147	nashu.wav.mp3	training	yes	nsh	au
151	nesha.wav.mp3	training	yes	nsh	ea
152	neshi.wav.mp3	training	yes	nsh	ei
153	neshu.wav.mp3	training	yes	nsh	eu
181	nisha.wav.mp3	training	yes	nsh	ia
182	nishe.wav.mp3	training	yes	nsh	ie
183	nishu.wav.mp3	training	yes	nsh	iu
187	nusha.wav.mp3	training	yes	nsh	ua
188	nushe.wav.mp3	training	yes	nsh	ue
189	nushi.wav.mp3	training	yes	nsh	ui
100	pase.wav.mp3	training	yes	ps	ae
101	pasi.wav.mp3	training	yes	ps	ai
102	pasu.wav.mp3	training	yes	ps	au
106	pesa.wav.mp3	training	yes	ps	ea
107	pesi.wav.mp3	training	yes	ps	ei
108	pesu.wav.mp3	training	yes	ps	eu
112	pisa.wav.mp3	training	yes	ps	ia
113	pise.wav.mp3	training	yes	ps	ie
114	pisu.wav.mp3	training	yes	ps	iu
118	pusa.wav.mp3	training	yes	ps	ua
119	puse.wav.mp3	training	yes	ps	ue
120	pusi.wav.mp3	training	yes	ps	ui
73	sage.wav.mp3	training	yes	sg	ae
74	sagi.wav.mp3	training	yes	sg	ai
75	sagu.wav.mp3	training	yes	sg	au
79	sega.wav.mp3	training	yes	sg	ea
80	segi.wav.mp3	training	yes	sg	ei
81	segu.wav.mp3	training	yes	sg	eu
85	siga.wav.mp3	training	yes	sg	ia
86	sige.wav.mp3	training	yes	sg	ie
87	sigu.wav.mp3	training	yes	sg	iu
91	suga.wav.mp3	training	yes	sg	ua
92	suge.wav.mp3	training	yes	sg	ue
93	sugi.wav.mp3	training	yes	sg	ui
1	shaje.wav.mp3	training	yes	shj	ae
2	shaji.wav.mp3	training	yes	shj	ai
3	shaju.wav.mp3	training	yes	shj	au
7	sheja.wav.mp3	training	yes	shj	ea
8	sheji.wav.mp3	training	yes	shj	ei
9	sheju.wav.mp3	training	yes	shj	eu
13	shija.wav.mp3	training	yes	shj	ia
14	shije.wav.mp3	training	yes	shj	ie
15	shiju.wav.mp3	training	yes	shj	iu
19	shuja.wav.mp3	training	yes	shj	ua
20	shuje.wav.mp3	training	yes	shj	ue
21	shuji.wav.mp3	training	yes	shj	ui
