exposure,list,response,stimulus,trialnumber,userCode
1,1,no,beli.wav.mp3,9,GCS1
1,1,no,bena.wav.mp3,12,KPX3
1,1,no,bilu.wav.mp3,12,GCS1
1,1,no,gili.wav.mp3,11,EON4
1,1,no,gomu.wav.mp3,11,GCS1
1,1,no,goni.wav.mp3,11,SZT4
1,1,no,pina.wav.mp3,13,GCS1
1,1,no,pina.wav.mp3,13,HLG2
1,1,no,puli.wav.mp3,8,SZT4
1,1,no,puna.wav.mp3,10,GCS1
1,1,yes,balu.wav.mp3,10,ERZ3
1,1,yes,bamu.wav.mp3,12,SZT4
1,1,yes,bani.wav.mp3,8,EON4
1,1,yes,bani.wav.mp3,9,KPX3
1,1,yes,banu.wav.mp3,11,HLG2
1,1,yes,bena.wav.mp3,12,EON4
1,1,yes,bimu.wav.mp3,10,SZT4
1,1,yes,boli.wav.mp3,9,HLG2
1,1,yes,buni.wav.mp3,12,ERZ3
1,1,yes,gala.wav.mp3,8,GCS1
1,1,yes,gela.wav.mp3,9,SZT4
1,1,yes,gema.wav.mp3,11,ERZ3
1,1,yes,gemi.wav.mp3,12,HLG2
1,1,yes,gimu.wav.mp3,8,KPX3
1,1,yes,gomu.wav.mp3,11,KPX3
1,1,yes,gona.wav.mp3,10,EON4
1,1,yes,goni.wav.mp3,9,ERZ3
1,1,yes,gulu.wav.mp3,8,HLG2
1,1,yes,pamu.wav.mp3,13,EON4
1,1,yes,pelu.wav.mp3,13,ERZ3
1,1,yes,pila.wav.mp3,8,ERZ3
1,1,yes,pili.wav.mp3,13,KPX3
1,1,yes,pili.wav.mp3,13,SZT4
1,1,yes,pima.wav.mp3,10,HLG2
1,1,yes,pula.wav.mp3,10,KPX3
1,1,yes,pumu.wav.mp3,9,EON4
1,10,no,tamu.wav.mp3,11,SCS1
1,10,no,tolu.wav.mp3,11,NLL1
1,10,no,vena.wav.mp3,10,SCS1
1,10,no,vilan.wav.mp3,13,ODI3
1,10,no,vina.wav.mp3,9,NLL1
1,10,no,vola.wav.mp3,13,SCS1
1,10,yes,falu.wav.mp3,12,NLL1
1,10,yes,famu.wav.mp3,11,ESH3
1,10,yes,femi.wav.mp3,10,NLL1
1,10,yes,fena.wav.mp3,10,ESH3
1,10,yes,fenu.wav.mp3,12,NOM3
1,10,yes,filu.wav.mp3,8,HEK2
1,10,yes,foli.wav.mp3,9,SCS1
1,10,yes,foma.wav.mp3,9,ODI3
1,10,yes,fomu.wav.mp3,12,HEK2
1,10,yes,fuli.wav.mp3,11,ODI3
1,10,yes,funu.wav.mp3,12,SCS1
1,10,yes,funu.wav.mp3,8,NOM3
1,10,yes,tanu.wav.mp3,10,ODI3
1,10,yes,tema.wav.mp3,10,HEK2
1,10,yes,teni.wav.mp3,12,ODI3
1,10,yes,teni.wav.mp3,13,HEK2
1,10,yes,tima.wav.mp3,13,NOM3
1,10,yes,timi.wav.mp3,10,NOM3
1,10,yes,tinil.wav.mp3,8,SCS1
1,10,yes,toli.wav.mp3,9,ESH3
1,10,yes,tunal.wav.mp3,8,NLL1
1,10,yes,tunu.wav.mp3,13,ESH3
1,10,yes,vana.wav.mp3,11,NOM3
1,10,yes,vani.wav.mp3,11,HEK2
1,10,yes,vima.wav.mp3,12,ESH3
1,10,yes,vina.wav.mp3,8,ODI3
1,10,yes,volu.wav.mp3,9,NOM3
1,10,yes,vula.wav.mp3,8,ESH3
1,10,yes,vulu.wav.mp3,9,HEK2
1,10,yes,vuni.wav.mp3,13,NLL1
1,11,no,falu.wav.mp3,11,CFC10
1,11,no,fima.wav.mp3,8,IVU4
1,11,no,sala.wav.mp3,9,IVU4
1,11,no,sina.wav.mp3,10,COL8
1,11,no,somu.wav.mp3,13,PWY2
1,11,no,suman.wav.mp3,12,CFC10
1,11,no,zamu.wav.mp3,9,PWY2
1,11,no,zeli.wav.mp3,11,COL8
1,11,no,zini.wav.mp3,13,IVU4
1,11,no,zuli.wav.mp3,11,PWY2
1,11,no,zuni.wav.mp3,10,OBP7
1,11,no,zunu.wav.mp3,10,IVU4
1,11,yes,fala.wav.mp3,9,OBP7
1,11,yes,fana.wav.mp3,12,COL8
1,11,yes,femi.wav.mp3,11,IVU4
1,11,yes,femu.wav.mp3,11,OBP7
1,11,yes,fila.wav.mp3,12,PWY2
1,11,yes,fima.wav.mp3,9,FFI9
1,11,yes,fomu.wav.mp3,9,COL8
1,11,yes,fona.wav.mp3,10,PWY2
1,11,yes,fona.wav.mp3,9,CFC10
1,11,yes,fuma.wav.mp3,13,FFI9
1,11,yes,sanu.wav.mp3,10,FFI9
1,11,yes,seni.wav.mp3,8,PWY2
1,11,yes,sila.wav.mp3,13,OBP7
1,11,yes,sili.wav.mp3,8,OBP7
1,11,yes,simi.wav.mp3,10,CFC10
1,11,yes,sola.wav.mp3,12,IVU4
1,11,yes,suli.wav.mp3,11,FFI9
1,11,yes,sumi.wav.mp3,13,COL8
1,11,yes,zali.wav.mp3,13,CFC10
1,11,yes,zeni.wav.mp3,8,CFC10
1,11,yes,zenu.wav.mp3,12,FFI9
1,11,yes,zoma.wav.mp3,8,FFI9
1,11,yes,zonu.wav.mp3,12,OBP7
1,11,yes,zunu.wav.mp3,8,COL8
1,12,no,d_ana.wav.mp3,12,PSL2
1,12,no,d_ela.wav.mp3,8,BMY4
1,12,no,d_eli.wav.mp3,13,ARA3
1,12,no,d_ila.wav.mp3,11,NQI2
1,12,no,pana.wav.mp3,9,BMY4
1,12,no,puli.wav.mp3,11,OJS6
1,12,no,t_ula.wav.mp3,13,OJS6
1,12,yes,d_ami.wav.mp3,12,OJS6
1,12,yes,d_ela.wav.mp3,10,YWQ5
1,12,yes,d_ema.wav.mp3,8,NQI2
1,12,yes,d_enu.wav.mp3,10,ARA3
1,12,yes,d_imu.wav.mp3,12,BMY4
1,12,yes,d_inu.wav.mp3,10,OJS6
1,12,yes,d_oli.wav.mp3,8,PSL2
1,12,yes,d_uma.wav.mp3,12,YWQ5
1,12,yes,pama.wav.mp3,11,ARA3
1,12,yes,pami.wav.mp3,10,NQI2
1,12,yes,pani.wav.mp3,8,YWQ5
1,12,yes,pela.wav.mp3,8,OJS6
1,12,yes,pelu.wav.mp3,13,PSL2
1,12,yes,pelu.wav.mp3,9,PSL2
1,12,yes,pili.wav.mp3,13,YWQ5
1,12,yes,poli.wav.mp3,9,ARA3
1,12,yes,pona.wav.mp3,12,NQI2
1,12,yes,pumi.wav.mp3,11,BMY4
1,12,yes,t_alu.wav.mp3,13,NQI2
1,12,yes,t_imu.wav.mp3,11,YWQ5
1,12,yes,t_imu.wav.mp3,8,ARA3
1,12,yes,t_ina.wav.mp3,10,PSL2
1,12,yes,t_oli.wav.mp3,13,BMY4
1,12,yes,t_olu.wav.mp3,10,BMY4
1,12,yes,t_oma.wav.mp3,9,OJS6
1,12,yes,t_oni.wav.mp3,9,YWQ5
1,12,yes,t_umi.wav.mp3,11,PSL2
1,12,yes,t_unu.wav.mp3,12,ARA3
1,12,yes,t_unu.wav.mp3,9,NQI2
1,2,no,dami.wav.mp3,10,OJY1
1,2,no,delu.wav.mp3,13,CQY4
1,2,no,demu.wav.mp3,10,NXA5
1,2,no,duna.wav.mp3,11,OJY1
1,2,no,tani.wav.mp3,9,NXA5
1,2,no,tela.wav.mp3,10,CQY4
1,2,no,tinil.wav.mp3,12,OJY1
1,2,no,tomi.wav.mp3,12,CQY4
1,2,no,toni.wav.mp3,10,GBF3
1,2,no,toni.wav.mp3,12,NXA5
