response,trial_id,trialnumber,subject
no,104,137,EEV16
no,104,139,SQH14
no,105,142,VFB27
no,105,145,SMJ5
no,108,140,DHE36
no,109,133,GQZ34
no,109,138,EFT51
no,109,138,OJW52
no,109,140,EVY26
no,109,142,LKU11
no,11,135,RFJ31
no,11,144,CYK7
no,11,144,EVY26
no,11,144,VFB27
no,110,131,HNJ41
no,110,136,JGD10
no,110,136,PDX24
no,110,136,THG13
no,110,136,ZQF26
no,112,138,RLS12
no,116,144,ZII48
no,12,143,GQZ34
no,12,143,HNJ41
no,121,140,CYK7
no,121,146,PDX24
no,122,138,GQZ34
no,122,143,RGL37
no,123,133,DHE36
no,126,142,RWI46
no,127,131,EVY26
no,127,139,HNJ41
no,127,144,GKY56
no,128,133,XJK39
no,128,136,NGO47
no,128,138,ZII48
no,128,139,AMD18
no,128,146,EFT51
no,129,139,PVX52
no,130,145,JGD10
no,132,144,TWL4
no,133,135,SQH14
no,135,146,RLS12
no,136,140,GAK12
no,14,143,GKY56
no,140,134,BUK28
no,142,132,SQH14
no,142,135,BUK28
no,144,140,XJK39
no,148,145,HNJ41
no,149,132,EEV16
no,150,143,XJK39
no,151,135,EFT51
no,151,142,CXG6
no,152,144,UUB8
no,153,132,JGD10
no,155,135,DHE36
no,157,139,SMJ5
no,158,134,CYK7
no,159,138,BUK28
no,159,143,EEV16
no,16,132,GKY56
no,16,135,ZII48
no,16,142,RGL37
no,16,145,NKJ17
no,163,142,NKJ17
no,163,143,VLM48
no,163,144,XJK39
no,163,145,TWL4
no,164,135,GKY56
no,164,139,PDX24
no,164,145,GAK12
no,165,132,UQQ30
no,167,140,VHU29
no,167,142,OGS44
no,168,136,GKY56
no,169,144,HNJ41
no,17,141,VHU29
no,170,144,IVJ32
no,171,144,GQZ34
no,175,136,VFB27
no,177,139,BRT9
no,177,141,TTB53
no,177,143,AMD18
no,177,144,SQH14
no,178,136,BIB33
no,18,131,UQQ30
no,18,146,JGD10
no,184,143,JGD10
no,186,140,TWL4
no,19,144,RGL37
no,190,137,NKJ17
no,190,139,EVY26
no,190,142,GQZ34
no,2,132,DHE36
no,2,145,VFB27
no,22,144,SMJ5
no,23,143,BUK28
no,24,141,VLM48
no,25,145,RFJ31
no,26,144,JGD10
no,28,135,WNU21
no,28,145,BRT9
no,28,145,RLS12
no,31,139,GHP41
no,31,139,RLS12
no,34,144,DHE36
no,35,142,TWL4
no,37,138,VHU29
no,37,144,TTB53
no,38,137,LKU11
no,38,144,YYT23
no,39,131,BIB33
no,42,140,GKY56
no,44,145,EVY26
no,45,134,VFB27
no,47,144,PDX24
no,48,135,VFB27
no,48,139,RFJ31
no,49,137,TWL4
no,5,136,UUB8
no,5,139,LKU11
no,52,144,EEV16
no,54,137,SMJ5
no,56,133,IVJ32
no,56,135,GQZ34
no,56,136,AUF14
no,56,140,NKJ17
no,57,139,CYK7
no,59,141,RLS12
no,59,142,XJK39
no,6,143,BRT9
no,61,135,PDX24
no,62,140,RFJ31
no,64,141,DHE36
no,67,135,UUB8
no,67,137,GKY56
no,67,138,EEV16
no,68,139,VHU29
no,69,134,JGD10
no,69,143,ZQF26
no,71,135,JGD10
no,73,146,VHU29
no,75,136,AMD18
no,76,146,XJK39
no,77,138,AMD18
no,77,146,EVY26
no,8,135,HNJ41
no,82,143,THG13
no,83,133,JGD10
no,83,139,RWI46
no,85,137,VFB27
no,87,137,DHE36
no,89,142,CYK7
no,9,142,BUK28
no,91,142,RLS12
no,91,146,TWL4
no,93,136,SMJ5
no,95,144,WNU21
no,95,145,UUB8
no,96,146,GQZ34
no,97,140,BUK28
no,98,143,TTB53
no,98,145,CYK7
no,99,137,UUB8
no,99,146,GKY56
yes,1,134,VLM48
yes,1,135,YTM54
yes,1,137,AMD18
yes,1,138,APY45
yes,1,143,ZII48
yes,10,132,YYT23
yes,10,137,URO50
yes,10,143,DMI57
yes,10,144,AMD18
yes,100,131,UUB8
yes,100,138,GKY56
yes,100,138,KZC42
yes,100,138,SQH14
yes,100,138,UQQ30
yes,100,138,VFB27
yes,100,141,CKS20
yes,101,131,JGD10
yes,101,134,AMD18
yes,101,137,VLM48
yes,101,141,AUF14
yes,101,146,CXG6
yes,101,146,YTM54
